Discipline,Progression,Perf,Wind,Competitor,DOB,Country,Venue,Date,Gender
100 Metres,,10.61,-0.6,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,"National Stadium, Tokyo (JPN)",31 JUL 2021,women
200 Metres,,21.34,1.3,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,"Olympic Stadium, Seoul (KOR)",29 SEP 1988,women
400 Metres,,48.25,,Marie-José PÉREC,09 MAY 1968,FRA,"Olympic Stadium, Atlanta, GA (USA)",29 JUL 1996,women
800 Metres,,1:53.43,,Nadezhda OLIZARENKO,28 NOV 1953,URS,"Lenin Stadium, Moskva (URS)",27 JUL 1980,women
1500 Metres,,3:53.11,,Faith KIPYEGON,10 JAN 1994,KEN,"National Stadium, Tokyo (JPN)",06 AUG 2021,women
3000 Metres,,8:26.53,,Tatyana SAMOLENKO,12 AUG 1961,URS,"Olympic Stadium, Seoul (KOR)",25 SEP 1988,women
5000 Metres,,14:26.17,,Vivian Jepkemei CHERUIYOT,11 SEP 1983,KEN,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,women
"10,000 Metres",,29:17.45,,Almaz AYANA,21 NOV 1991,ETH,"Estádio Olímpico, Rio de Janeiro (BRA)",12 AUG 2016,women
100 Metres Hurdles,,12.26,-0.2,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,"National Stadium, Tokyo (JPN)",01 AUG 2021,women
400 Metres Hurdles,,51.46,,Sydney MCLAUGHLIN,07 AUG 1999,USA,"National Stadium, Tokyo (JPN)",04 AUG 2021,women
3000 Metres Steeplechase,,8:58.81,,Gulnara SAMITOVA-GALKINA,09 JUL 1978,RUS,"National Stadium, Beijing (CHN)",17 AUG 2008,women
High Jump,,2.06,,Yelena SLESARENKO,28 FEB 1982,RUS,"Olympic Stadium, Athina (GRE)",28 AUG 2004,women
Pole Vault,,5.05,,Yelena ISINBAYEVA,03 JUN 1982,RUS,"National Stadium, Beijing (CHN)",18 AUG 2008,women
Long Jump,,7.40,0.9,Jackie JOYNER-KERSEE,03 MAR 1962,USA,"Olympic Stadium, Seoul (KOR)",29 SEP 1988,women
Triple Jump,,15.67,0.7,Yulimar ROJAS,21 OCT 1995,VEN,"National Stadium, Tokyo (JPN)",01 AUG 2021,women
Shot Put,,22.41,,Ilona SLUPIANEK,24 SEP 1956,GDR,"Lenin Stadium, Moskva (URS)",24 JUL 1980,women
Discus Throw,,72.30,,Martina HELLMANN,12 DEC 1960,GDR,"Olympic Stadium, Seoul (KOR)",29 SEP 1988,women
Hammer Throw,,82.29,,Anita WŁODARCZYK,08 AUG 1985,POL,"Estádio Olímpico, Rio de Janeiro (BRA)",15 AUG 2016,women
Javelin Throw,,71.53,,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,"Olympic Stadium, Athina (GRE)",27 AUG 2004,women
Marathon,,2:23:07,,Tiki GELANA,22 OCT 1987,ETH,"Olympic Stadium, London (GBR)",05 AUG 2012,women
20 Kilometres Race Walk,,1:25:16,,Shijie QIEYANG,11 NOV 1990,CHN,"Olympic Stadium, London (GBR)",11 AUG 2012,women
Heptathlon,,7291,,Jackie JOYNER-KERSEE,03 MAR 1962,USA,"Olympic Stadium, Seoul (KOR)",24 SEP 1988,women
4x100 Metres Relay,,40.82,,United States,,USA,"Olympic Stadium, London (GBR)",10 AUG 2012,women
4x400 Metres Relay,,3:15.17,,Soviet Union,,URS,"Olympic Stadium, Seoul (KOR)",01 OCT 1988,women
100 Metres,,9.63,1.5,Usain BOLT,21 AUG 1986,JAM,"Olympic Stadium, London (GBR)",05 AUG 2012,men
200 Metres,,19.30,-0.9,Usain BOLT,21 AUG 1986,JAM,"National Stadium, Beijing (CHN)",20 AUG 2008,men
400 Metres,,43.03,,Wayde VAN NIEKERK,15 JUL 1992,RSA,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016,men
800 Metres,,1:40.91,,David RUDISHA,17 DEC 1988,KEN,"Olympic Stadium, London (GBR)",09 AUG 2012,men
1500 Metres,,3:28.32,,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,"National Stadium, Tokyo (JPN)",07 AUG 2021,men
5000 Metres,,12:57.82,,Kenenisa BEKELE,13 JUN 1982,ETH,"National Stadium, Beijing (CHN)",23 AUG 2008,men
"10,000 Metres",,26:43.14,,Joshua CHEPTEGEI,12 SEP 1996,UGA,"Stade de France, Paris (FRA)",02 AUG 2024,men
110 Metres Hurdles,,12.91,0.3,Xiang LIU,13 JUL 1983,CHN,"Olympic Stadium, Athina (GRE)",27 AUG 2004,men
400 Metres Hurdles,,45.94,,Karsten WARHOLM,28 FEB 1996,NOR,"National Stadium, Tokyo (JPN)",03 AUG 2021,men
3000 Metres Steeplechase,,8:03.28,,Conseslus KIPRUTO,08 DEC 1994,KEN,"Estádio Olímpico, Rio de Janeiro (BRA)",17 AUG 2016,men
High Jump,,2.39,,Charles AUSTIN,19 DEC 1967,USA,"Olympic Stadium, Atlanta, GA (USA)",28 JUL 1996,men
Pole Vault,,6.03,,Thiago BRAZ,16 DEC 1993,BRA,"Estádio Olímpico, Rio de Janeiro (BRA)",15 AUG 2016,men
Long Jump,,8.90,2.0,Bob BEAMON,29 AUG 1946,USA,"Estadio Olímpico, Ciudad de México (MEX)",18 OCT 1968,men
Triple Jump,,18.09,-0.4,Kenny HARRISON,13 FEB 1965,USA,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996,men
Shot Put,,23.30,,Ryan CROUSER,18 DEC 1992,USA,"National Stadium, Tokyo (JPN)",05 AUG 2021,men
Discus Throw,,69.89,,Virgilijus ALEKNA,13 FEB 1972,LTU,"Olympic Stadium, Athina (GRE)",23 AUG 2004,men
Hammer Throw,,84.80,,Sergey LITVINOV,23 JAN 1958,URS,"Olympic Stadium, Seoul (KOR)",26 SEP 1988,men
Javelin Throw,,90.57,,Andreas THORKILDSEN,01 APR 1982,NOR,"National Stadium, Beijing (CHN)",23 AUG 2008,men
Marathon,,2:06:32,,Samuel Kamau WANJIRU,10 NOV 1986,KEN,"National Stadium, Beijing (CHN)",24 AUG 2008,men
20 Kilometres Race Walk,,1:18:46,,Ding CHEN,05 AUG 1992,CHN,"Olympic Stadium, London (GBR)",04 AUG 2012,men
50 Kilometres Race Walk,,3:36:53,,Jared TALLENT,17 OCT 1984,AUS,"Olympic Stadium, London (GBR)",11 AUG 2012,men
Decathlon,,9018,,Damian WARNER,04 NOV 1989,CAN,"National Stadium, Tokyo (JPN)",05 AUG 2021,men
4x100 Metres Relay,,36.84,,Jamaica,,JAM,"Olympic Stadium, London (GBR)",11 AUG 2012,men
4x400 Metres Relay,,2:55.39,,United States,,USA,"National Stadium, Beijing (CHN)",23 AUG 2008,men
4x400 Metres Relay Mixed,,3:07.41,,United States,,USA,"Stade de France, Paris (FRA)",02 AUG 2024,mixed
